signal,signal-options,amplified-attenuated,subcategory,clean-or-no,secondary-category,unclean-percent,count-in-dataset,annotated-by-one,annotated-by-two,annotated-by-all,comment,ampf-att-clean,%-2-or-more,%-1-or-more,,
would,,attenuated,detensifier,no,uncertainty,60-40,87,11,10,9,,100.0,0.22,0.34,,No
if,,attenuated,specification,no,detensifier; uncertainty; intensifier; generalization,77-10-4-4-1,90,29,14,5,,99.0,0.21,0.53,,No
just ,,amplified,intensifier,no,certainty,90-10,68,26,14,0,,100.0,0.21,0.59,,No
find that,,attenuated,detensifier,no,uncertainty,50-50,5,0,1,0,,100.0,0.20,0.20,,No
unless,,attenuated,specification,yes,NA,NA,5,1,1,0,,100.0,0.20,0.40,,No
sure,,amplified,certainty,yes,NA,NA,10,5,1,1,,100.0,0.20,0.70,,No
that + adj,,amplified,intensifier,no,detensifier; specification,60-20-20,5,3,1,0,,100.0,0.20,0.80,,No
actually,,amplified,intensifier,no,certainty,60-40,11,1,2,0,"better to not have it because it can also be attenuated ""I procrastinate a lot actually but I ...""",100.0,0.18,0.27,,No
I consider,,attenuated,detensifier,no,uncertainty,60-40,11,4,2,0,,100.0,0.18,0.55,,No
much,,amplified,intensifier,yes,NA,NA,35,11,3,3,,100.0,0.17,0.49,,No
around people,around ADJ people; around PERSON-DENOTING-NOUN,attenuated,specification,yes,NA,NA,12,1,1,1,,100.0,0.17,0.25,,No
impression,,attenuated,detensifier,yes,NA,NA,6,1,1,0,,100.0,0.17,0.33,,No
whether,,amplified,generalization,yes,NA,NA,6,5,1,0,,100.0,0.17,1.00,,Yes
to the point,,amplified,intensifier,yes,NA,NA,6,5,1,0,,100.0,0.17,1.00,,Yes
even,,amplified,intensifier,yes,NA,NA,31,21,5,0,,100.0,0.16,0.84,,No
could,exclude wish I could,attenuated,uncertainty,no,detensifier,65-35,31,5,4,0,,100.0,0.13,0.29,,No
conisder myself,,attenuated,detensifier,no,uncertainty,66-33,8,1,1,0,,100.0,0.13,0.25,,No
such as,,attenuated,specification,yes,NA,NA,8,1,1,0,,100.0,0.13,0.25,,No
most of the time,most times,attenuated,specification,yes,NA,NA,8,2,1,0,,100.0,0.13,0.38,,No
without,,amplified,certainty,no,intensifier,80-20,18,3,1,1,,100.0,0.11,0.28,,No
hoestly,,amplified,intensifier,yes,NA,NA,9,6,1,0,,100.0,0.11,0.78,,No
I know I,I know that; I know what; I know how,amplified,certainty,no,intensifier,90-10,30,10,3,0,,100.0,0.10,0.43,,No
find it,,attenuated,detensifier,yes,NA,NA,10,5,1,0,,100.0,0.10,0.60,,No
fact,,amplified,certainty,no,generalization,90-10,30,16,3,0,,100.0,0.10,0.63,,No
while,,attenuated,specification,no,detensifier,80-20,13,2,1,0,,100.0,0.08,0.23,,No
once,,attenuated,specification,yes,NA,NA,13,3,1,0,,100.0,0.08,0.31,,No
best,"exclude best friends, friends",amplified,intensifier,no,generalization,90-10,42,14,3,0,,100.0,0.07,0.40,,No
until,,amplified,intensifier,no,certainty,90-10,15,7,1,0,,100.0,0.07,0.53,,No
most,,amplified,intensifier,yes,NA,NA,110,29,7,0,,100.0,0.06,0.33,,No
should,,attenuated,detensifier,no,specification; uncertainty,40-40-20,18,4,1,0,,100.0,0.06,0.28,,No
many,,amplified,intensifier,no,specification,90-10,50,23,2,0,,90.0,0.04,0.50,,No
someone,,attenuated,specification,yes,NA,NA,57,5,1,0,,100.0,0.02,0.11,,No
with,,attenuated,specification,yes,NA,NA,180,3,2,1,,100.0,0.02,0.03,,No
love,,amplified,intensifier,yes,NA,NA,61,9,1,0,,100.0,0.02,0.16,,No
more,,amplified,intensifier,yes,NA,NA,68,10,1,0,,100.0,0.01,0.16,,No
something,,attenuated,specification,yes,NA,NA,75,15,1,0,,100.0,0.01,0.21,,No
about,,attenuated,specification,yes,NA,NA,257,7,0,1,,100.0,0.00,0.03,,No
although,,attenuated,detensifier,yes,NA,NA,6,,0,0,,100.0,0.00,0.00,,No
end up,ends up,amplified,certainty,yes,NA,NA,10,2,0,0,,100.0,0.00,0.20,,No
but,,attenuated,detensifier,no,specification,75-25,152,4,0,0,,100.0,0.00,0.03,,No
easily,,amplified,intensifier,yes,NA,NA,32,1,0,0,,100.0,0.00,0.03,,No
able to,not able to; not be able to; not being able to; unable to,amplified,intensifier,no,generalization,50-50,34,2,0,0,,100.0,0.00,0.06,,No
act,,attenuated,detensifier,yes,NA,NA,12,1,0,0,,100.0,0.00,0.08,,No
however,,attenuated,detensifier,yes,NA,NA,12,1,0,0,,100.0,0.00,0.08,,No
act,,attenuated,detensifier,yes,NA,NA,12,1,0,0,,100.0,0.00,0.08,,No
proud,,amplified,intensifier,yes,NA,NA,11,1,0,0,,100.0,0.00,0.09,,No
though,,attenuated,detensifier,yes,NA,NA,10,1,0,0,,100.0,0.00,0.10,,No
favorite,,amplified,intensifier,yes,NA,NA,7,1,0,0,,100.0,0.00,0.14,,No
had to,,amplified,intensifier,yes,NA,NA,6,1,0,0,,100.0,0.00,0.17,,No
each,"excluding ""each other""",amplified,generalization,yes,NA,NA,5,1,0,0,,100.0,0.00,0.20,,No
how much,,amplified,intensifier,yes,NA,NA,5,1,0,0,,100.0,0.00,0.20,,No
won't,,amplified,generalization,no,certainty,50-50,10,2,0,0,,100.0,0.00,0.20,,No
lack of,,amplified,generalization,yes,NA,NA,10,2,0,0,,100.0,0.00,0.20,,No
instead,,amplified,intensifier,yes,NA,NA,5,1,0,0,,100.0,0.00,0.20,,No
ADJ person,,amplified,generalization,yes,NA,NA,46,11,0,0,,100.0,0.00,0.24,,No
ADJ personality,,amplified,generalization,yes,NA,NA,8,2,0,0,,100.0,0.00,0.25,,No
I'm working on ,,attenuated,detensifier,yes,NA,NA,4,1,0,0,,100.0,0.00,0.25,,No
ruins,ruins; ruined,amplified,intensifier,yes,NA,NA,4,1,0,0,,100.0,0.00,0.25,,No
somewhere,,attenuated,specification,yes,NA,NA,4,1,0,0,,100.0,0.00,0.25,,No
I don't know,,attenuated,uncertainty,yes,NA,NA,13,4,0,0,,100.0,0.00,0.31,,No
ADJ individual,,amplified,generalization,yes,NA,NA,3,1,0,0,,100.0,0.00,0.33,,No
a couple of,,attenuated,specification,yes,NA,NA,3,1,0,0,,100.0,0.00,0.33,,No
or even,,amplified,intensifier,yes,NA,NA,3,1,0,0,,100.0,0.00,0.33,,No
full,,amplified,certainty,no,intensifier,50-50,6,2,0,0,,100.0,0.00,0.33,,No
immediately,,amplified,intensifier,yes,NA,NA,3,1,0,0,,100.0,0.00,0.33,,No
still,,amplified,intensifier,yes,NA,NA,19,7,0,0,,100.0,0.00,0.37,,No
only,,amplified,intensifier,yes,NA,NA,18,8,0,0,,100.0,0.00,0.44,,No
a great deal,,amplified,intensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
a level of,,attenuated,specification,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
as being,,amplified,generalization,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
not ... SUPERLATIVESHORT-FORM,,attenuated,detensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
don't really,,attenuated,detensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
for example,,attenuated,specification,yes,NA,NA,6,3,0,0,,100.0,0.00,0.50,,No
minimal,,amplified,intensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
the way i see,,attenuated,detensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
ridiculous,,amplified,intensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
strive,,amplified,intensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
potentially,,attenuated,uncertainty,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
throughout,,amplified,intensifier,yes,NA,NA,6,3,0,0,,100.0,0.00,0.50,,No
to be honest,,amplified,intensifier,yes,NA,NA,2,1,0,0,,100.0,0.00,0.50,,No
I cannot,I can't,amplified,intensifier,no,certainty; generalization,75-12-12,11,6,0,0,,100.0,0.00,0.55,,No
how ADJ,,amplified,intensifier,yes,NA,NA,27,15,0,0,,100.0,0.00,0.56,,No
simply,,amplified,intensifier,yes,NA,NA,5,3,0,0,,100.0,0.00,0.60,,No
not always,always not; not ...always; možda i don't i can't možemo dobiti tako što ćemo razdvojiti skraćene oblike u npr. do not,attenuated,specification,yes,NA,NA,3,2,0,0,,100.0,0.00,0.67,,No
with confidence,,amplified,certainty,yes,NA,NA,3,2,0,0,,100.0,0.00,0.67,,No
will power,,amplified,generalization,yes,NA,NA,3,2,0,0,,100.0,0.00,0.67,,No
for some reason,,attenuated,detensifier,yes,NA,NA,3,2,0,0,,100.0,0.00,0.67,,No
oftentimes,,amplified,generalization,no,specification,80-20,7,5,0,0,,80.0,0.00,0.71,,No
admire,,amplified,intensifier,yes,NA,NA,4,3,0,0,,100.0,0.00,0.75,,No
!,!!! (different number of !),amplified,intensifier,yes,NA,NA,5,4,0,0,,100.0,0.00,0.80,,No
I pride,I take pride,amplified,intensifier,yes,NA,NA,5,4,0,0,,100.0,0.00,0.80,,No
of course,,amplified,certainty,yes,NA,NA,5,4,0,0,,100.0,0.00,0.80,,No
". Man, ","Man, ; , man, ",amplified,intensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
<100%,anything less than 100%,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
a daily basis,,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
a dead body,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
a funny thing,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
above and beyond,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
absolute,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
situational,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
can't always,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
anywhere,,amplified,generalization,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
more than anything,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
at what I,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
because this is me,,attenuated,detensifier,yes,NA,NA,1,1,0,0,prerandom i premalo spominjanja da ostane u rječniku,100.0,0.00,1.00,,Yes
certain work,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
challenging,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
constant,,amplified,generalization,yes,NA,NA,3,3,0,0,,100.0,0.00,1.00,,Yes
consumes me,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
continuously,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
could not,couldn't,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
gifted,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
go out of my way to,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
horribly,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
fairly,,attenuated,detensifier,no,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
fantastic,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
not everyone,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
entire,,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
either ... or,,amplified,generalization,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
crazy,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
detrimental,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
I am certain,I'm certain,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
I am confident that,I'm confident that,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
or else,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
for days,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
for hours,,amplified,intensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
general,,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
been told,,attenuated,uncertainty,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
I provide,,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
stupid + NOUN,,amplified,intensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
such a,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
"in (any) way(,) shape or form",,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
in part,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
minimum,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
not much,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
see as,seen as,attenuated,detensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
not to seem,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
somehow,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
inevitable,,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
inherent,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
instantly,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
nowhere,,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
occasionally,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
unavoidable,,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
perhaps,,attenuated,uncertainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
plenty,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
thus far,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
". To me,",,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
seldom,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
over and over again,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
or else,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
not that + adj,,attenuated,detensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
that I am aware of,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
that sounds,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
this + adj,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes